Year,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST_PCT,AST_PER_TO,AST,OREB_PCT,DREB_PCT,REB_PCT,TOV_PCT,eFG_PCT,TS_PCT,PACE,PIE,POSS
2004,Houston Rockets,82,45,37,3986,99.7,97.8,1.9,57.7,1.15,15.8,30.5,70.8,51.6,18.6,48.4,52.8,88.92,51.3,"7,384"
2004,Indiana Pacers,82,61,21,3961,102.5,96.2,6.3,64.4,1.5,17.3,32,70.6,51.1,16.2,47.1,52,88.54,53.9,"7,311"
2004,Los Angeles Clippers,82,28,54,3961,101.9,106.6,-4.7,58.7,1.23,15.5,36.2,67.7,51.7,17.6,45.3,51.2,92.49,46.4,"7,624"
2004,Los Angeles Lakers,82,56,26,3971,104.2,100.1,4.1,64.3,1.72,17.9,31.3,70.1,50.6,14.6,48.1,52.2,93.39,53.8,"7,729"
2004,Memphis Grizzlies,82,50,32,3976,103.4,100.8,2.6,64.6,1.56,17.7,32.5,65.5,48.9,16,47.9,52.2,92.6,52.2,"7,670"
2004,Miami Heat,82,42,40,3951,100.6,100.3,0.3,57.3,1.38,15.6,30.7,70.7,50.4,15.4,46.3,51,89.3,49.6,"7,361"
2004,Milwaukee Bucks,82,41,41,3956,104.6,103.5,1.1,63,1.69,17.5,30.8,69,49.9,14.4,47.7,52.8,93.2,51,"7,682"
2004,Minnesota Timberwolves,82,58,24,3951,104.2,98.5,5.7,62.3,1.81,18.2,30.3,69.1,50.7,14,48.6,52.8,90.24,55.4,"7,441"
2004,New Jersey Nets,82,47,35,3941,99,96.4,2.6,71.4,1.66,19.1,28.9,71.1,50.1,16.2,47.1,51.5,90.97,53.3,"7,475"
2004,New Orleans Hornets,82,41,41,3966,100.7,100.6,0.1,61.9,1.4,16.4,33.2,68.1,50.2,16.4,46,50.5,90.59,49.1,"7,476"
2004,New York Knicks,82,39,43,3976,99.7,101.3,-1.6,58.8,1.31,16.4,30.7,70.1,50.8,17,47.4,51.8,91.29,48.8,"7,563"
2004,Orlando Magic,82,21,61,3966,101.4,108.8,-7.4,54.5,1.41,15.2,31.5,65.7,48.1,14.8,46.1,50.4,92.14,43.4,"7,608"
2004,Philadelphia 76ers,82,33,49,3971,97.8,100.4,-2.6,61.1,1.25,16.1,31.3,68.1,49.8,17.7,45.6,50.5,89.26,48.4,"7,379"
2004,Phoenix Suns,82,29,53,3946,100.3,104.2,-3.8,53.6,1.27,15.3,29.7,66.1,47.9,16.2,47.5,51.5,93.72,46.6,"7,699"
2004,Portland Trail Blazers,82,41,41,3996,102.1,103.5,-1.5,61,1.46,17.2,34.4,67,50.7,16.6,47.8,51.5,87.54,48.8,"7,289"
2004,Sacramento Kings,82,55,27,3956,108.6,103.2,5.4,69.4,1.89,19.6,29.2,67.6,48.8,14.6,50.7,55.4,94.25,54.4,"7,765"
2004,San Antonio Spurs,82,57,25,3951,101,93.1,7.9,59,1.39,16.3,31.9,71,51.6,16.2,47.3,51.1,90.23,56.6,"7,428"
2004,Seattle SuperSonics,82,37,45,3961,105.6,106.4,-0.8,60.6,1.5,17.1,30.2,65.5,47.9,15.8,50.1,54,91.34,49.1,"7,542"
2004,Toronto Raptors,82,33,49,3996,95.3,98.8,-3.4,59.3,1.35,15.9,27,67.3,47.1,15.9,45.4,49.5,88.24,47.6,"7,348"
2004,Utah Jazz,82,42,40,3956,100,101.3,-1.3,62.1,1.22,16.3,37.3,69.1,52.9,18.8,45.6,50.9,88.26,49.3,"7,271"
2004,Washington Wizards,82,25,57,3966,97.2,102.9,-5.7,55.7,1.07,14.5,33.3,66.7,49.6,18.6,45.4,50,93.9,44.1,"7,751"
2005,Atlanta Hawks,82,13,69,3971,98.8,109,-10.2,54.9,1.22,15.3,32.6,69.6,50.2,17.1,46.4,50.4,93.09,42.2,"7,695"
2005,Boston Celtics,82,45,37,3976,105.9,105.1,0.8,59.4,1.4,16.9,30.5,67.1,49.4,16.5,50.1,55.1,94.61,50.5,"7,839"
2005,Charlotte Bobcats,82,18,64,3976,99.8,106,-6.2,60.6,1.51,16.5,32.7,67.6,49.2,15.4,45.5,49.7,93.54,46,"7,743"
2005,Chicago Bulls,82,47,35,3966,100.5,99.1,1.4,61.2,1.27,16.4,31.7,69.1,50.6,17.8,47.1,51.7,93.41,49.8,"7,707"
2005,Cleveland Cavaliers,82,42,40,3971,105.3,104.7,0.6,61.9,1.62,17.3,35.4,67.4,51,15.2,47,51.8,90.72,51,"7,516"
2005,Dallas Mavericks,82,58,24,3946,108.5,102.6,5.9,52.6,1.46,15.3,31.9,67.4,50,14.2,49.2,54.5,94.18,53.7,"7,749"
2005,Denver Nuggets,82,49,33,3951,104.7,102.6,2.2,64.5,1.6,18,31.3,67.8,49.7,15.7,48.3,53.5,94.68,53.1,"7,792"
2005,Detroit Pistons,82,54,28,3991,103.9,99.6,4.3,62.7,1.58,17.2,34,69.3,51.8,15.4,47.2,51.9,88.59,54.2,"7,364"
2005,Golden State Warriors,82,34,48,3981,103.4,105.5,-2.2,59.8,1.63,16.6,30.3,66.6,47.7,14.2,47.5,51.2,94.45,47.3,"7,830"
2005,Houston Rockets,82,51,31,3971,104.4,100.1,4.3,60.9,1.53,16.9,30.1,71.3,51.2,15.2,48.6,53.4,90.18,52.7,"7,467"
2005,Indiana Pacers,82,44,38,3981,103.7,102.7,1,55.8,1.27,15.1,29.6,68.7,49.4,16,47.6,53.4,88.71,50.4,"7,351"
2005,Los Angeles Clippers,82,37,45,4006,103.8,104.5,-0.8,65,1.47,17.9,33.8,68.7,51.8,17.1,47.7,53.3,90.66,51.8,"7,564"
2005,Los Angeles Lakers,82,34,48,3956,106.4,109.6,-3.2,57.8,1.42,15.9,32.4,68,50.3,15.5,48.5,53.5,92.34,46.8,"7,610"
2005,Memphis Grizzlies,82,45,37,3941,104.2,101.5,2.7,61.2,1.43,16.9,30.8,66.3,48.7,16.3,48.9,53.5,89.65,51.5,"7,355"
2005,Miami Heat,82,59,23,3996,108.9,102.2,6.7,57.8,1.59,17.1,29.7,69.8,50.8,14.7,52.4,55.9,91.73,55.6,"7,647"
2005,Milwaukee Bucks,82,30,52,3956,105.1,108.1,-3,58,1.52,16.4,32.2,68.7,50.3,14.9,47.5,52.7,92.14,47.8,"7,584"
2005,Minnesota Timberwolves,82,44,38,3951,106.6,105,1.6,63,1.78,18.3,32.1,68.2,50.8,14.5,48.9,53.4,90.39,51.8,"7,440"
2005,New Jersey Nets,82,42,40,3981,99.9,101.6,-1.7,64.4,1.52,17.1,29.8,70.1,49.5,15.5,46.3,51.2,90.41,49,"7,501"
2005,New Orleans Hornets,82,18,64,3986,98.2,105.9,-7.7,63.4,1.42,16.6,32.9,67.5,49.4,16.5,44.6,49.3,88.97,43.7,"7,382"
