Closing_Spread,Game_Count,All_Team_Cover_Record,All_Team_Cover_PCT,All_Team_Push_PCT,Away_Team_Cover_Record,Away_Team_Cover_PCT,Home_Team_Cover_Record,Home_Team_Cover_PCT
-11.5,497,229-268-0,46.10 ,0.00 ,25-35-0,41.70 ,204-232-0,46.80 
-12,387,169-205-13,45.20 ,3.40 ,17-27-5,38.60 ,152-178-8,46.10 
-12.5,324,165-159-0,50.90 ,0.00 ,28-20-0,58.30 ,136-138-0,49.60 
-13,314,149-154-11,49.20 ,3.50 ,17-23-2,42.50 ,130-130-9,50.00 
-13.5,288,137-151-0,47.60 ,0.00 ,20-17-0,54.10 ,116-134-0,46.40 
-14,226,104-109-13,48.80 ,5.80 ,11/20/2000,35.50 ,92-88-13,51.10 
-14.5,158,65-93-0,41.10 ,0.00 ,9/6/2000,60.00 ,56-86-0,39.40 
-15,142,74-63-5,54.00 ,3.50 ,7/8/2000,46.70 ,67-55-5,54.90 
-15.5,113,63-50-0,55.80 ,0.00 ,9/5/2000,64.30 ,53-45-0,54.10 
-16,74,27-43-4,38.60 ,5.40 ,1/7/2002,12.50 ,26-36-2,41.90 
-16.5,60,30-30-0,50.00 ,0.00 ,2/2/2000,50.00 ,28-28-0,50.00 
-17,50,21-27-2,43.80 ,4.00 ,4/2/2000,66.70 ,17-25-2,40.50 
-17.5,28,16-12-0,57.10 ,0.00 ,0-3-0,0.00 ,16-9-0,64.00 
-18,25,7/16/2002,30.40 ,8.00 ,0-1-0,0.00 ,7/15/2002,31.80 
-18.5,12,4/8/2000,33.30 ,0.00 ,--,--,4/7/2000,36.40 
-19,12,6/6/2000,50.00 ,0.00 ,--,--,6/6/2000,50.00 
-19.5,7,7-0-0,100.00 ,0.00 ,--,--,7-0-0,100.00 
-20,2,0-2-0,0.00 ,0.00 ,--,--,0-2-0,0.00 
-20.5,3,2/1/2000,66.70 ,0.00 ,--,--,2/1/2000,66.70 
-21,2,1/1/2000,50.00 ,0.00 ,--,--,1/1/2000,50.00 
-21.5,1,1-0-0,100.00 ,0.00 ,--,--,1-0-0,100.00 
-22,1,0-1-0,0.00 ,0.00 ,--,--,0-1-0,0.00 
-22.5,1,1-0-0,100.00 ,0.00 ,--,--,1-0-0,100.00 
-23,1,0-1-0,0.00 ,0.00 ,--,--,0-1-0,0.00 
